Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
TERCERA,2022-04-07,AVIVANCO,ARAVANALES,CARROZA,AGAJARDO,ALCALDE,,,,
SEGUNDA,2022-04-08,BRITO,VALDERRAMA,DAHM,LLANOS,MUNITA,,,,
PRIMERA,2022-04-08,SILVA,PRADO,SILVA,MORALES,FUENTES,,,,
PRIMERA,2022-04-11,SILVA,PRADO,SILVA,AREPETTO,HUMERES,,,,
CUARTA,2022-04-13,BLANCO,ACHEVESICH,AMU,AGAJARDO,RUZ,,,,
TERCERA,2022-04-13,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-04-13,BRITO,VALDERRAMA,DAHM,LLANOS,ABUAUAD,,,,
PRIMERA,2022-04-13,SILVA,PRADO,SILVA,AREPETTO,FUENTES,,,,
CUARTA,2022-04-14,BLANCO,AMU,AGAJARDO,MORALES,AETCHEBERRY,permiso,,,
TERCERA,2022-04-14,AREPETTO,ARAVANALES,MATUS,ACOPPO,RUZ,,,,
SEGUNDA,2022-04-14,BRITO,DAHM,LLANOS,ATAVOLARI,ABUAUAD,,,,
PRIMERA,2022-04-14,SILVA,PRADO,SILVA,MUNITA,FUENTES,,,,
CUARTA,2022-04-18,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,RUZ,,,,
TERCERA,2022-04-18,ARAVANALES,CARROZA,MATUS,ALCALDE,AGUILA,permiso,,,
SEGUNDA,2022-04-18,BRITO,VALDERRAMA,DAHM,ALETELIER,ACOPPO,,,,
PRIMERA,2022-04-18,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-04-20,BLANCO,AMU,SIMPERTIGUE,HUMERES,AETCHEBERRY,permiso,,,
TERCERA,2022-04-20,MU,AVIVANCO,ARAVANALES,CARROZA,ALETELIER,,,,
SEGUNDA,2022-04-20,BRITO,VALDERRAMA,DAHM,LLANOS,MATUS,,,,
PRIMERA,2022-04-20,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-04-21,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,RUZ,,,,
TERCERA,2022-04-21,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-04-21,BRITO,VALDERRAMA,LLANOS,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-04-21,PRADO,SILVA,AREPETTO,MUNITA,FUENTES,,,,
SEGUNDA,2022-04-22,BRITO,LLANOS,ALETELIER,HUMERES,ABUAUAD,,,,
PRIMERA,2022-04-22,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-04-25,BLANCO,ALETELIER,AGAJARDO,SIMPERTIGUE,AETCHEBERRY,,,,
PRIMERA,2022-04-25,SILVA,PRADO,SILVA,AREPETTO,HUMERES,,,,
CUARTA,2022-04-27,ACHEVESICH,AGAJARDO,SIMPERTIGUE,ACOPPO,AETCHEBERRY,permiso,,,
TERCERA,2022-04-27,ARAVANALES,CARROZA,MATUS,ALCALDE,AGUILA,permiso,,,
SEGUNDA,2022-04-27,BRITO,DAHM,LLANOS,ALETELIER,ABUAUAD,,,,
PRIMERA,2022-04-27,SILVA,PRADO,SILVA,MUNITA,HUMERES,,,,
CUARTA,2022-04-29,BLANCO,ACHEVESICH,AGAJARDO,MORALES,AETCHEBERRY,subroga,,,
TERCERA,2022-04-29,AREPETTO,CARROZA,SIMPERTIGUE,ALCALDE,ABENAVIDES,permiso,subroga,,
SEGUNDA,2022-04-29,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-04-29,SILVA,PRADO,SILVA,MUNITA,HUMERES,,,,
CUARTA,2022-05-02,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-05-02,MU,ARAVANALES,CARROZA,ALETELIER,MATUS,,,,
SEGUNDA,2022-05-02,BRITO,VALDERRAMA,DAHM,LLANOS,MUNITA,,,,
PRIMERA,2022-05-02,SILVA,PRADO,SILVA,AREPETTO,HUMERES,,,,
CUARTA,2022-05-04,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-05-04,MU,AVIVANCO,ARAVANALES,MATUS,AGUILA,,,,
SEGUNDA,2022-05-04,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-05-04,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-05-05,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-05-05,MU,AVIVANCO,ARAVANALES,MATUS,AGUILA,,,,
SEGUNDA,2022-05-05,BRITO,DAHM,LLANOS,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-05-05,SILVA,VALDERRAMA,PRADO,SILVA,AREPETTO,,,,
CUARTA,2022-05-09,BLANCO,ACHEVESICH,AMU,SIMPERTIGUE,RUZ,,,,
TERCERA,2022-05-09,MU,AVIVANCO,ARAVANALES,MATUS,AGAJARDO,,,,
SEGUNDA,2022-05-09,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-05-09,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-05-10,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,ATAVOLARI,,,,
PRIMERA,2022-05-10,SILVA,PRADO,SILVA,AREPETTO,FUENTES,,,,
CUARTA,2022-05-11,BLANCO,ACHEVESICH,AMU,AGAJARDO,RUZ,,,,
TERCERA,2022-05-11,MU,AVIVANCO,ARAVANALES,MATUS,SIMPERTIGUE,,,,
PRIMERA,2022-05-11,SILVA,PRADO,SILVA,AREPETTO,FUENTES,,,,
CUARTA,2022-05-12,BLANCO,AMU,AGAJARDO,MUNITA,ACOPPO,,,,
TERCERA,2022-05-12,MU,AREPETTO,ARAVANALES,ALCALDE,ABENAVIDES,comisi ón,,,
CUARTA,2022-05-13,BLANCO,AMU,AGAJARDO,MORALES,ATAVALORI,,,,
TERCERA,2022-05-13,MU,ARAVANALES,ALETELIER,MUNITA,AGUILA,permiso,,,
SEGUNDA,2022-05-13,BRITO,VALDERRAMA,DAHM,LLANOS,AETCHEBERRY,,,,
PRIMERA,2022-05-13,SILVA,PRADO,SILVA,RUZ,ABENAVIDES,,,,
CUARTA,2022-05-16,BLANCO,AMU,ALETELIER,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-05-16,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-05-16,BRITO,DAHM,LLANOS,ATAVOLARI,ABUAUAD,,,,
CUARTA,2022-05-17,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-05-17,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
SEGUNDA,2022-05-17,BRITO,DAHM,LLANOS,ALETELIER,ATAVOLARI,,,,
PRIMERA,2022-05-17,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-05-18,SILVA,BLANCO,ACHEVESICH,AMU,AGAJARDO,,,,
TERCERA,2022-05-18,MU,AVIVANCO,ARAVANALES,CARROZA,MATUS,,,,
PRIMERA,2022-05-18,PRADO,AREPETTO,ALETELIER,SIMPERTIGUE,HUMERES,,,,
CUARTA,2022-05-20,BLANCO,AMU,SIMPERTIGUE,ACOPO,AGUILA,permiso,,,
